ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
113H1,0,1,1,1,1,1,1,1,1,1,1
113H10,0,1,1,1,1,1,1,1,1,1,1
113H11,0,1,1,1,1,1,1,1,1,1,1
113H12,0,1,1,1,1,1,1,1,1,1,1
113H13,0,1,1,1,1,1,1,1,1,1,1
113H14,0,1,1,1,0,1,1,1,1,0,0
113H15,0,0,1,1,1,1,1,1,1,1,0
113H16,0,1,1,1,1,1,1,1,1,0,1
113H17,0,1,1,1,1,1,1,1,1,1,0
113H18,0,1,1,1,0,1,1,1,1,1,1
113H19,0,1,1,1,1,1,1,1,1,1,1
113H2,0,1,1,1,1,1,1,1,1,1,1
113H20,0,1,1,1,1,1,1,1,1,1,1
113H21,0,1,1,1,1,1,0,0,0,0,0
113H22,0,1,1,1,1,1,0,1,0,0,0
113H23,0,1,1,1,1,1,1,1,1,1,1
113H24,0,1,1,1,1,1,1,1,1,1,1
113H25,0,1,1,1,1,1,1,1,1,1,0
113H26,0,1,1,1,1,1,1,1,1,1,1
113H27,0,1,1,1,1,1,1,1,1,1,1
113H28,0,1,1,1,1,1,1,1,1,1,1
113H29,0,1,1,1,1,1,1,1,1,1,1
113H3,0,1,1,1,1,1,1,1,1,1,1
113H4,0,1,1,1,1,1,1,1,1,1,1
113H5,0,1,1,1,1,1,1,1,1,1,1
113H6,0,1,1,1,1,1,1,1,1,1,1
113H7,0,1,1,1,1,1,1,1,1,1,1

