ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
11JCL06,0,1,1,1,1,0,0,0,0,0,0
14JCL06,0,1,0,0,0,1,1,1,0,0,0
16JCL06,0,1,0,0,0,1,1,1,1,1,1
17JCL06,0,1,1,1,1,1,1,1,1,1,1
19JCL06,0,1,1,1,1,1,1,1,1,1,1
20JCL06,0,0,0,0,0,0,0,0,0,0,0
21JCL06,0,1,0,0,0,0,0,0,0,0,0
22JCL06,0,1,0,0,0,0,0,0,0,0,0
24JCL06,0,1,0,0,0,1,0,1,1,0,0
25JCL06,0,1,0,0,0,1,1,1,0,0,0
26JCL06,0,1,1,1,1,1,1,1,1,1,1
32JCL06,0,0,0,0,0,0,0,0,0,0,0
6JCL06,0,1,1,1,1,1,1,1,1,1,1
7JCL06,0,1,1,1,1,1,1,1,1,1,1
8JCL06,0,1,1,1,1,1,1,1,1,1,1
