ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
16JCL220,0,1,1,1,1,1,1,1,1,1,0
18JCL220,0,1,1,1,1,1,1,1,1,1,1
1JCL220,0,1,1,1,1,1,1,1,1,1,0
21JCL220,0,0,0,0,0,1,1,1,1,1,0
22JCL220,0,1,1,1,1,1,1,1,1,1,1
23JCL220,0,1,1,1,1,1,1,1,1,1,0
24JCL220,0,0,0,0,0,0,0,0,0,0,0
26JCL220,0,1,1,1,1,1,1,1,1,1,0
28JCL220,0,1,1,1,1,1,1,1,1,1,1
31JCL220,0,1,1,1,1,1,1,1,1,1,1
33JCL220,0,1,1,1,1,1,1,1,1,1,0
34JCL220,0,1,0,0,0,1,1,1,1,1,1
4JCL220,0,1,1,1,1,1,1,1,1,1,1
5JCL220,0,1,1,1,1,0,0,0,0,0,0
6JCL220,0,1,1,1,1,1,1,1,1,1,1
8JCL220,0,0,0,0,0,0,0,0,0,0,0
9JCL220,0,1,1,1,1,1,1,1,1,1,1
