ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
10JCL219,0,1,1,1,1,1,1,1,1,1,1
12JCL219,0,1,1,1,1,1,1,1,1,1,1
13JCL219,0,1,1,1,1,1,1,1,1,1,1
15JCL219,0,1,0,0,0,1,0,0,1,1,0
16JCL219,0,0,0,0,0,0,0,0,0,0,0
18JCL219,0,1,1,1,1,1,1,1,1,1,1
1JCL219,0,0,0,0,0,0,0,0,0,0,0
20JCL219,0,1,1,1,1,1,1,1,1,1,1
21JCL219,0,1,1,1,1,1,1,1,1,1,1
22JCL219,0,1,1,1,1,1,1,1,1,1,1
24JCL219,0,1,1,1,1,1,1,1,1,1,1
25JCL219,0,1,0,0,0,0,0,0,0,0,0
26JCL219,0,1,1,1,1,1,1,1,1,1,1
2JCL219,0,0,0,0,0,0,0,0,0,0,0
4JCL219,0,1,1,1,1,1,1,1,1,1,1
7JCL219,0,0,0,0,0,0,0,0,0,0,0
8JCL219,0,0,0,0,0,0,0,0,0,0,0
9JCL219,0,1,1,1,1,1,1,1,1,1,1

