ID,Error grading project,The backdrop of the project was changed,There are at least three sprites,A sprite has two required events,A second sprite has two required events,A third sprite has two required events,A sprite has two scripts with unique events,A second sprite has two scripts with unique events,A third sprite has two scripts with unique events,Uses all event blocks from lesson plan
281367135,0,1,1,1,0,0,1,0,0,0
284563677,0,1,1,1,0,0,1,0,0,0
284567092,0,0,0,0,0,0,0,0,0,0
