ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
309587176,0,1,1,1,1,1,1,1,0,0
309587533,0,1,1,1,1,0,1,0,1,1
309587619,0,1,1,1,1,1,0,0,0,0
309587695,0,1,1,1,1,1,1,1,1,1
309587733,0,1,1,1,0,1,1,0,1,1
309587746,0,1,1,1,1,1,1,1,0,0
309587851,0,1,1,1,1,1,1,1,1,1
309587895,0,1,1,1,1,1,1,1,1,1
309588032,0,1,1,1,0,1,1,0,1,1
309588169,0,1,1,1,1,1,1,1,1,1
309588486,0,1,1,1,1,1,1,1,1,1
309588505,0,1,1,0,0,0,0,0,0,0
309588511,0,1,1,0,1,1,1,0,1,0
309588520,0,1,1,0,0,0,0,0,0,0
309588521,0,1,1,0,0,0,0,0,0,0
309588640,0,1,1,1,0,1,1,0,1,1
309588714,0,1,1,1,0,1,1,0,0,0
309588760,0,1,1,1,1,1,1,1,1,1
309588864,0,1,1,1,1,1,1,1,1,1
309589825,0,1,1,1,0,1,1,0,0,0
309589858,0,1,1,1,1,1,1,1,1,1
309591127,0,1,1,1,0,1,1,0,0,0
309592472,0,1,1,1,1,1,1,1,1,1
309592551,0,1,1,0,1,1,1,0,1,0
309592616,0,1,1,1,1,1,1,1,1,1
309683971,0,1,1,1,1,1,1,1,1,1
312723082,0,1,0,1,1,1,1,1,0,0
317003303,0,1,1,1,1,1,1,1,1,1
