ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
295666094,0,1,1,1,1,1,1,1,1,1
297801422,0,1,1,1,1,1,1,1,1,0
299866700,0,1,1,1,1,1,1,1,1,0
299866725,0,1,1,1,1,1,1,1,1,1
299868131,0,1,1,1,0,1,1,0,1,1
299869086,0,1,1,1,1,1,1,1,1,1
299870936,0,1,1,0,1,1,1,0,0,0
299876265,0,1,1,1,0,1,0,0,0,0
304522792,0,1,1,1,1,1,1,1,0,0
304522805,0,1,1,1,0,1,1,0,0,0
304522860,0,1,1,1,1,1,1,1,0,0
304522929,0,1,1,1,1,1,1,1,1,0
304523031,0,1,1,1,1,1,1,1,1,1
304523150,0,1,1,1,1,1,1,1,1,1
304523237,0,1,1,1,0,1,1,0,0,0
304523239,0,1,1,1,1,1,1,1,1,1
304523294,0,1,1,1,0,1,1,0,0,0
304523310,0,0,1,1,1,1,1,1,1,1
304523412,0,1,1,1,1,1,1,1,1,1
304523611,0,1,1,1,0,1,1,0,1,1
304523936,0,1,1,0,1,1,1,0,0,0
304524013,0,1,1,1,1,1,1,1,0,0
304524128,0,1,1,1,0,1,1,0,1,0
304524254,0,1,1,1,1,1,1,1,0,0
304524621,0,1,1,1,0,1,1,0,1,1
304525390,0,1,1,1,0,1,1,0,1,1
304526226,0,1,1,1,1,1,1,1,1,1
304527914,0,1,1,1,0,1,1,0,0,0
304530003,0,1,1,1,0,1,1,0,1,0
