ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
RC7A1,0,1,0,0,0,0,0,0,0,0,0
RC7A10,0,1,1,1,1,1,1,1,1,0,0
RC7A11,0,1,1,1,1,1,1,1,1,1,1
RC7A12,0,1,0,0,0,0,0,0,0,0,0
RC7A13,0,1,1,1,0,0,0,0,0,0,0
RC7A14,0,1,1,1,1,1,1,1,1,1,1
RC7A15,0,1,1,1,1,1,1,1,1,1,1
RC7A16,0,1,0,0,0,1,1,1,1,1,1
RC7A17,0,1,0,0,0,0,0,0,0,0,0
RC7A18,0,1,1,1,1,1,1,1,1,1,1
RC7A19,0,1,0,0,0,0,0,0,0,0,0
RC7A2,0,1,0,0,0,1,1,1,1,1,0
RC7A20,0,1,0,0,0,0,0,0,0,0,0
RC7A21,0,1,0,0,0,1,0,0,0,0,0
RC7A22,0,1,0,0,0,0,0,0,0,0,0
RC7A23,0,1,1,1,1,1,0,0,1,1,0
RC7A25,0,1,0,0,0,0,0,0,0,0,0
RC7A26,0,1,0,0,0,0,0,0,0,0,0
RC7A27,0,0,0,0,0,0,0,0,0,0,0
RC7A29,0,1,0,0,0,1,1,1,1,1,1
RC7A3,0,0,0,0,0,1,1,1,1,1,0
RC7A30,0,1,1,1,1,1,1,1,1,1,1
RC7A31,0,1,1,1,1,1,1,1,1,1,1
RC7A32,0,1,1,1,1,1,1,1,1,1,1
RC7A4,0,1,1,1,0,1,1,1,1,1,1
RC7A5,0,1,0,0,0,0,0,0,0,0,0
RC7A7,0,1,0,0,0,1,1,1,1,1,1
RC7A8,0,1,0,0,0,0,0,0,0,0,0

