ID,Error grading project,Three sprites react to being clicked.,Three sprites get bigger when clicked.,After getting bigger the sprites talk twice.,After talking twice the sprites reset to their original size.
314989670,0,1,0,0,0
314991364,0,1,0,0,0
314992970,0,1,0,0,0
314993433,0,1,1,0,1
