ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
291724980,0,1,1,1,1,1,1,1,1,1
291725107,0,1,1,1,1,1,0,0,0,0
291725191,0,1,1,1,1,1,1,1,1,1
291725243,0,1,1,1,1,1,0,0,0,0
291725342,0,1,1,1,0,1,0,0,0,0
291725396,0,1,1,1,1,1,1,1,1,1
291725569,0,1,1,1,1,1,1,1,1,1
291725595,0,1,1,1,1,1,0,0,0,0
291725636,0,1,1,1,1,1,1,1,1,0
291725681,0,1,1,1,0,1,1,0,1,1
291725691,0,1,1,1,0,1,1,0,1,0
291725768,0,1,1,1,1,1,1,1,1,1
291725906,0,1,1,1,0,1,1,0,1,1
291726144,0,1,1,1,1,1,1,1,0,0
291726328,0,1,1,1,0,1,1,0,1,1
291726520,0,1,1,1,1,1,1,1,1,1
291727528,0,1,1,1,1,1,1,1,1,0
291727661,0,1,1,1,1,1,1,1,1,1
291728053,0,1,1,1,1,1,0,0,0,0
291728950,0,1,1,1,0,1,1,0,1,1
291898612,0,1,1,1,1,1,1,1,1,1
291904032,0,1,1,1,0,1,1,0,1,1
291919447,0,1,1,1,0,1,1,0,1,1
291923550,0,1,1,1,1,1,1,1,1,1
