ID,Error grading project,Background has an image.,There are three sprites.,Sprite 1 has at least two events.,Sprite 2 has at least two events.,Sprite 3 has at least two events.,Sprite 1 events have actions.,Sprite 2 events have actions.,Sprite 3 events have actions.
24pandacorn24,0,1,1,1,0,1,1,0,1
2oo1sgr8,0,1,1,1,1,0,1,1,0
adastra28,0,1,1,1,1,1,1,1,1
basketballfan1000,0,1,1,0,0,0,0,0,0
birds605,0,1,1,0,0,0,0,0,0
blaze703570,0,1,1,1,1,1,1,1,1
catsareawesome789,0,1,1,1,1,1,1,1,1
christmas3000,0,1,1,1,1,1,1,1,1
clover7777,0,1,1,1,1,1,1,1,1
cs13267001,0,1,1,0,0,0,0,0,0
doggys332,0,1,1,0,0,0,0,0,0
dolphin7600,0,1,1,1,0,0,1,0,0
flyingunicorn2468,0,1,1,1,1,1,1,1,1
iloveschool1000,0,1,1,0,0,1,0,0,1
influxmaster21,0,1,1,1,0,1,1,0,1
kingasparta35,0,1,1,1,0,1,1,0,1
kittygirl1257,0,1,0,0,1,0,0,1,0
kittyqueen231,0,1,1,1,1,1,1,1,1
luckystargirl09,0,1,1,1,1,1,1,1,1
panda48000,0,1,1,1,1,1,1,1,1
penguin88835,0,0,1,1,1,1,1,1,1
raspberry2000,0,1,1,0,1,0,0,1,0
redbirdmoney3,0,1,1,1,0,0,1,0,0
redhero59,0,1,1,1,1,1,1,1,1
schoolno3411,0,1,1,0,0,0,0,0,0
shark730,0,1,1,1,1,1,1,1,1
tigergirl1156,0,1,1,0,0,0,0,0,0
turtleshavetails123,0,1,1,1,1,0,1,1,0
unicorn5087,0,1,1,1,1,1,1,1,1
