ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
13JCL216,0,1,0,0,0,1,1,1,1,1,1
15JCL216,0,1,0,0,0,1,1,1,1,1,1
16JCL216,0,1,1,1,1,1,1,1,1,1,1
19JCL216,0,1,1,1,1,1,1,1,1,1,1
22JCL216,0,0,1,1,1,1,1,1,1,1,0
23JCL216,0,1,0,0,0,1,1,1,1,1,0
26JCL216,0,1,1,1,1,1,1,1,1,1,1
27JCL216,0,0,0,0,0,0,0,0,0,0,0
28JCL216,0,1,0,0,0,1,1,1,1,1,1
29JCL216,0,1,1,1,1,1,1,1,1,1,1
32JCL216,0,1,0,0,0,1,1,1,1,1,1
3JCL216,0,1,1,1,1,1,1,1,1,1,1
5JCL216,0,1,0,0,0,1,1,1,1,1,1
7JCL216,0,1,0,0,0,1,0,0,1,1,0
8JCL216,0,1,0,0,0,1,1,1,1,1,1
9JCL216,0,1,1,1,1,1,1,1,1,1,1

