ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
10JCL210,0,0,0,0,0,0,0,0,0,0,0
12JCL210,0,1,0,0,0,0,0,0,0,0,0
13JCL210,0,1,0,0,0,1,0,0,1,1,0
14JCL210,0,1,0,0,0,1,1,1,1,1,1
16JCL210,0,1,1,1,1,0,0,0,0,0,0
17JCL210,0,0,0,0,0,0,0,0,0,0,0
25JCL210,0,0,0,0,0,0,0,0,0,0,0
26JCL210,0,1,1,1,1,1,1,1,1,1,1
33JCL210,0,1,0,0,0,1,0,0,1,1,0
3JCL210,0,0,0,0,0,0,0,0,0,0,0
6JCL210,0,1,0,0,0,1,1,1,1,1,1
9JCL210,0,1,0,0,0,1,0,1,1,0,0

