ID,Error grading project,Bee starts at the beginning of the track.,Bee handles down arrow.,Bee changes costume on down arrow.,Bee wait block on down arrow.,Bee handles space bar.,Bee loop on space bar.,Bee moves on space bar.,Bee uses costume change on space bar.,Bee has wait block on space bar.,Bee reaches the finish line.
115H1,0,1,1,1,1,1,1,1,1,1,1
115H10,0,1,1,1,1,1,1,1,1,1,1
115H11,0,1,1,1,1,1,1,1,1,1,1
115H15,0,1,1,1,1,1,1,1,1,1,1
115H16,0,1,1,1,1,1,1,1,1,1,0
115H17,0,1,1,1,1,1,1,1,1,1,1
115H18,0,1,1,1,1,1,1,1,1,1,1
115H2,0,1,1,1,1,1,1,1,1,1,1
115H21,0,1,1,1,1,1,1,1,1,1,0
115H22,0,1,1,1,1,1,1,1,1,0,1
115H23,0,1,1,1,1,1,1,1,1,1,1
115H24,0,1,1,1,1,1,1,1,1,1,1
115H25,0,1,1,1,1,1,1,1,1,1,1
115H26,0,1,1,1,1,1,1,1,1,1,1
115H27,0,1,1,1,1,1,1,1,0,1,1
115H28,0,1,1,0,0,1,1,1,1,1,1
115H29,0,1,1,1,1,1,1,1,1,1,1
115H3,0,1,1,1,1,1,1,1,1,1,1
115H4,0,1,1,1,1,1,1,1,1,1,1
115H5,0,1,1,1,1,1,1,1,1,1,1
115H6,0,1,1,1,1,1,1,1,1,1,1
115H8,0,1,1,1,1,1,1,1,1,1,1
115H9,0,1,1,1,1,1,1,1,1,1,0

